Date,Time,Open,High,Low,Close,Tick volume
2023.07.05,00:00:00,1.08827,1.09078,1.08509,1.08551,92359
2023.07.06,00:00:00,1.08554,1.09006,1.08337,1.08896,116349
2023.07.07,00:00:00,1.08895,1.09731,1.08669,1.09646,103612
2023.07.09,00:00:00,1.09593,1.09697,1.09563,1.09669,3848
2023.07.10,00:00:00,1.0967,1.10058,1.09434,1.10052,92337
2023.07.11,00:00:00,1.10053,1.10269,1.09768,1.10136,87930
2023.07.12,00:00:00,1.10137,1.11405,1.10119,1.11405,113161
2023.07.13,00:00:00,1.11406,1.12296,1.11298,1.12234,108080
2023.07.14,00:00:00,1.12235,1.12448,1.12041,1.12235,101320
2023.07.16,00:00:00,1.12284,1.1234,1.12232,1.12273,3422
2023.07.17,00:00:00,1.12271,1.12487,1.12033,1.12373,71701
2023.07.18,00:00:00,1.12374,1.12756,1.12089,1.12281,108511
2023.07.19,00:00:00,1.12282,1.124,1.11742,1.12049,102845
2023.07.20,00:00:00,1.12048,1.12291,1.11184,1.11344,98620
2023.07.21,00:00:00,1.11345,1.11449,1.11079,1.11244,81648
2023.07.23,00:00:00,1.11197,1.11321,1.11197,1.11243,3230
2023.07.24,00:00:00,1.11244,1.11469,1.10597,1.1063,97762
2023.07.25,00:00:00,1.1063,1.10868,1.10207,1.10499,87544
2023.07.26,00:00:00,1.105,1.11066,1.10377,1.10779,108349
2023.07.27,00:00:00,1.10778,1.11496,1.09658,1.09781,143704
2023.07.28,00:00:00,1.0978,1.10475,1.09435,1.10125,139328
2023.07.30,00:00:00,1.10206,1.10282,1.10095,1.10238,3976
2023.07.31,00:00:00,1.10239,1.10458,1.09931,1.09966,94531
2023.08.01,00:00:00,1.09967,1.10192,1.09523,1.10075,96088
2023.08.02,00:00:00,1.10078,1.1008,1.09178,1.09435,114466
2023.08.03,00:00:00,1.09433,1.09628,1.09122,1.0951,120699
2023.08.04,00:00:00,1.09509,1.10419,1.09349,1.10029,106099
2023.08.06,00:00:00,1.10141,1.10151,1.1001,1.10024,5635
2023.08.07,00:00:00,1.10024,1.10117,1.09654,1.10026,79484
2023.08.08,00:00:00,1.10026,1.10111,1.0929,1.09592,100572
2023.08.09,00:00:00,1.09592,1.09953,1.09552,1.09771,88441
2023.08.10,00:00:00,1.09771,1.1065,1.09673,1.09815,113012
2023.08.11,00:00:00,1.09815,1.10049,1.09429,1.09433,98613
2023.08.13,00:00:00,1.09493,1.09517,1.09401,1.09432,3549
2023.08.14,00:00:00,1.09431,1.096,1.08747,1.09077,102611
2023.08.15,00:00:00,1.09076,1.09524,1.08969,1.09038,107638
2023.08.16,00:00:00,1.09038,1.09345,1.08714,1.08743,104460
2023.08.17,00:00:00,1.08744,1.0918,1.08563,1.08743,96909
2023.08.18,00:00:00,1.08742,1.08938,1.0845,1.08678,89609
2023.08.20,00:00:00,1.08672,1.08785,1.08664,1.08749,2948
2023.08.21,00:00:00,1.08747,1.09136,1.08695,1.08975,81218
2023.08.22,00:00:00,1.08974,1.09303,1.08329,1.08464,84127
2023.08.23,00:00:00,1.08465,1.08713,1.08025,1.08654,102152
2023.08.24,00:00:00,1.08655,1.08764,1.07928,1.0799,86133
2023.08.25,00:00:00,1.07989,1.08417,1.07658,1.07906,94070
2023.08.27,00:00:00,1.07957,1.0801,1.07933,1.07968,3686
2023.08.28,00:00:00,1.07969,1.08298,1.07961,1.08255,66445
2023.08.29,00:00:00,1.08255,1.08919,1.07822,1.08691,91382
2023.08.30,00:00:00,1.08691,1.09454,1.08551,1.09294,98239
2023.08.31,00:00:00,1.09292,1.09394,1.08347,1.08424,91058
2023.09.01,00:00:00,1.08422,1.08819,1.07716,1.07717,94636
2023.09.03,00:00:00,1.07748,1.07815,1.07716,1.07756,2431
2023.09.04,00:00:00,1.07758,1.08087,1.07731,1.07913,41020
2023.09.05,00:00:00,1.07912,1.07982,1.07062,1.07244,89484
2023.09.06,00:00:00,1.07246,1.07488,1.07025,1.07238,85987
2023.09.07,00:00:00,1.07238,1.07317,1.06861,1.06973,70201
2023.09.08,00:00:00,1.06975,1.07438,1.06941,1.06974,75038
2023.09.10,00:00:00,1.07147,1.07204,1.07075,1.07162,4146
2023.09.11,00:00:00,1.07165,1.07593,1.07099,1.07476,76568
2023.09.12,00:00:00,1.07476,1.07692,1.07055,1.07531,72375
2023.09.13,00:00:00,1.0753,1.07648,1.0711,1.07327,94657
2023.09.14,00:00:00,1.07327,1.07521,1.06318,1.0635,97679
2023.09.15,00:00:00,1.06349,1.06877,1.06332,1.06576,80992
2023.09.17,00:00:00,1.06588,1.0669,1.06578,1.06679,2469
2023.09.18,00:00:00,1.0668,1.06986,1.06546,1.06919,63154
2023.09.19,00:00:00,1.06918,1.0718,1.06746,1.06813,63126
2023.09.20,00:00:00,1.06814,1.07368,1.06478,1.06498,89962
2023.09.21,00:00:00,1.06498,1.06734,1.06167,1.06603,96197
2023.09.22,00:00:00,1.06603,1.06716,1.0615,1.06419,79648
2023.09.24,00:00:00,1.06513,1.06518,1.06424,1.06482,3470
2023.09.25,00:00:00,1.06482,1.06555,1.05753,1.05912,65170
2023.09.26,00:00:00,1.05912,1.0609,1.0562,1.05691,71873
2023.09.27,00:00:00,1.05691,1.0574,1.0488,1.05052,95296
2023.09.28,00:00:00,1.05053,1.05788,1.0491,1.05621,105683
2023.09.29,00:00:00,1.05622,1.06169,1.05579,1.05694,100029
2023.10.01,00:00:00,1.05672,1.05721,1.05578,1.0564,5198
2023.10.02,00:00:00,1.05641,1.05919,1.04752,1.04798,94191
